Sample 216: No. iterations = 512, Error = 0.00964802
Sample 217: No. iterations = 512, Error = 0.00932456
Sample 218: No. iterations = 512, Error = 0.0114002
Sample 219: No. iterations = 512, Error = 0.0108587
Sample 220: No. iterations = 512, Error = 0.0111931
Sample 221: No. iterations = 512, Error = 0.0102363
Sample 222: No. iterations = 512, Error = 0.00970649
Sample 223: No. iterations = 512, Error = 0.0103246
Sample 224: No. iterations = 512, Error = 0.00979783
Sample 225: No. iterations = 512, Error = 0.0106654
Sample 226: No. iterations = 512, Error = 0.0102995
Sample 227: No. iterations = 512, Error = 0.0103064
Sample 228: No. iterations = 512, Error = 0.0098907
Sample 229: No. iterations = 512, Error = 0.0101842
Sample 230: No. iterations = 512, Error = 0.0102695
Sample 231: No. iterations = 512, Error = 0.0113821
Sample 232: No. iterations = 512, Error = 0.0100116
Sample 233: No. iterations = 512, Error = 0.0111443
Sample 234: No. iterations = 512, Error = 0.00886568
Sample 235: No. iterations = 512, Error = 0.00894402
Sample 236: No. iterations = 512, Error = 0.0110547
Sample 237: No. iterations = 512, Error = 0.00906958
Sample 238: No. iterations = 512, Error = 0.00959205
Sample 239: No. iterations = 512, Error = 0.0113278
Sample 240: No. iterations = 512, Error = 0.0113264
Sample 241: No. iterations = 512, Error = 0.00999931
Sample 242: No. iterations = 512, Error = 0.00898909
Sample 243: No. iterations = 512, Error = 0.00912285
Sample 244: No. iterations = 512, Error = 0.00954673
Sample 245: No. iterations = 512, Error = 0.0108489
Sample 246: No. iterations = 512, Error = 0.0103113
Sample 247: No. iterations = 512, Error = 0.0108386
Sample 248: No. iterations = 512, Error = 0.0116035
Sample 249: No. iterations = 512, Error = 0.0103696
Sample 250: No. iterations = 512, Error = 0.0110618
Sample 251: No. iterations = 512, Error = 0.0110926
Sample 252: No. iterations = 512, Error = 0.0117799
Sample 253: No. iterations = 512, Error = 0.0113047
Sample 254: No. iterations = 512, Error = 0.00967253
Sample 255: No. iterations = 512, Error = 0.00925684
Sample 256: No. iterations = 512, Error = 0.0111742
Sample 257: No. iterations = 512, Error = 0.00976726
Sample 258: No. iterations = 512, Error = 0.0103521
Sample 259: No. iterations = 512, Error = 0.0108953
Sample 260: No. iterations = 512, Error = 0.0116507
Sample 261: No. iterations = 512, Error = 0.0104163
Sample 262: No. iterations = 512, Error = 0.0112105
Sample 263: No. iterations = 512, Error = 0.00932027
Sample 264: No. iterations = 512, Error = 0.0102239
Sample 265: No. iterations = 512, Error = 0.0104393
Sample 266: No. iterations = 512, Error = 0.0100493
Sample 267: No. iterations = 512, Error = 0.0102196
Sample 268: No. iterations = 512, Error = 0.0106488
Sample 269: No. iterations = 512, Error = 0.0111602
Sample 270: No. iterations = 512, Error = 0.0112317
Sample 271: No. iterations = 512, Error = 0.0101384
Sample 272: No. iterations = 512, Error = 0.00962247
Sample 273: No. iterations = 512, Error = 0.0116203
Sample 274: No. iterations = 512, Error = 0.0104051
Sample 275: No. iterations = 512, Error = 0.00896942
Sample 276: No. iterations = 512, Error = 0.0113777
Sample 277: No. iterations = 512, Error = 0.0109515
Sample 278: No. iterations = 512, Error = 0.010516
Sample 279: No. iterations = 512, Error = 0.00954579
Sample 280: No. iterations = 512, Error = 0.010013
Sample 281: No. iterations = 512, Error = 0.00897
Sample 282: No. iterations = 512, Error = 0.0109046
Sample 283: No. iterations = 512, Error = 0.0098678
Sample 284: No. iterations = 512, Error = 0.00968978
Sample 285: No. iterations = 512, Error = 0.0113537
Sample 286: No. iterations = 512, Error = 0.0104845
Sample 287: No. iterations = 512, Error = 0.0128701
Sample 288: No. iterations = 512, Error = 0.00999615
Sample 289: No. iterations = 512, Error = 0.00964743
Sample 290: No. iterations = 512, Error = 0.0111272
Sample 291: No. iterations = 512, Error = 0.0100188
Sample 292: No. iterations = 512, Error = 0.0105468
Sample 293: No. iterations = 512, Error = 0.00928475
Sample 294: No. iterations = 512, Error = 0.0100043
Sample 295: No. iterations = 512, Error = 0.0102112
Sample 296: No. iterations = 512, Error = 0.00938763
Sample 297: No. iterations = 512, Error = 0.00978317
Sample 298: No. iterations = 512, Error = 0.00942172
Sample 299: No. iterations = 512, Error = 0.00980483
Sample 300: No. iterations = 512, Error = 0.0096284
Sample 301: No. iterations = 512, Error = 0.0100949
Sample 302: No. iterations = 512, Error = 0.0110513
Sample 303: No. iterations = 512, Error = 0.00886773
Sample 304: No. iterations = 512, Error = 0.0113228
Sample 305: No. iterations = 512, Error = 0.00982337
Sample 306: No. iterations = 512, Error = 0.00927648
Sample 307: No. iterations = 512, Error = 0.00996787
Sample 308: No. iterations = 512, Error = 0.00980249
Sample 309: No. iterations = 512, Error = 0.0122605
Sample 310: No. iterations = 512, Error = 0.0114089
Sample 311: No. iterations = 512, Error = 0.0103385
Sample 312: No. iterations = 512, Error = 0.0101097
Sample 313: No. iterations = 512, Error = 0.010618
Sample 314: No. iterations = 512, Error = 0.0115235
Sample 315: No. iterations = 512, Error = 0.01106
Sample 316: No. iterations = 512, Error = 0.00948063
Sample 317: No. iterations = 512, Error = 0.0108631
Sample 318: No. iterations = 512, Error = 0.01097
Sample 319: No. iterations = 512, Error = 0.0102914
Sample 320: No. iterations = 512, Error = 0.00899074
Sample 321: No. iterations = 512, Error = 0.00965735
Sample 322: No. iterations = 512, Error = 0.00935921
Sample 323: No. iterations = 512, Error = 0.010021
Sample 324: No. iterations = 512, Error = 0.00958095
Sample 325: No. iterations = 512, Error = 0.0111623
Sample 326: No. iterations = 512, Error = 0.00985494
Sample 327: No. iterations = 512, Error = 0.0105077
Sample 328: No. iterations = 512, Error = 0.00906466
Sample 329: No. iterations = 512, Error = 0.0099785
Sample 330: No. iterations = 512, Error = 0.00964985
Sample 331: No. iterations = 512, Error = 0.0107736
Sample 332: No. iterations = 512, Error = 0.00948529
Sample 333: No. iterations = 512, Error = 0.00922528
Sample 334: No. iterations = 512, Error = 0.00959278
Sample 335: No. iterations = 512, Error = 0.0117478
Sample 336: No. iterations = 512, Error = 0.0100307
Sample 337: No. iterations = 512, Error = 0.00982544
Sample 338: No. iterations = 512, Error = 0.00882901
Sample 339: No. iterations = 512, Error = 0.010177
Sample 340: No. iterations = 512, Error = 0.0103096
Sample 341: No. iterations = 512, Error = 0.00998255
